NAMESPACE     LAST SEEN   TYPE      REASON                           OBJECT                                         MESSAGE
kube-system   10m         Normal    SuccessfulCreate                 daemonset/svclb-traefik-30b6aef5               Created pod: svclb-traefik-30b6aef5-rhzmn
kube-system   10m         Normal    Started                          pod/helm-install-traefik-whjhh                 Started container helm
kube-system   10m         Normal    Created                          pod/helm-install-traefik-whjhh                 Created container: helm
kube-system   10m         Normal    AppliedDaemonSet                 service/traefik                                Applied LoadBalancer DaemonSet kube-system/svclb-traefik-30b6aef5
kube-system   10m         Normal    ScalingReplicaSet                deployment/traefik                             Scaled up replica set traefik-6f986b958c from 0 to 1
kube-system   10m         Normal    Pulling                          pod/traefik-6f986b958c-gxtc6                   Pulling image "rancher/mirrored-library-traefik:3.3.6"
kube-system   10m         Normal    Pulling                          pod/svclb-traefik-30b6aef5-rhzmn               Pulling image "rancher/klipper-lb:v0.4.13"
kube-system   10m         Normal    Created                          pod/svclb-traefik-30b6aef5-rhzmn               Created container: lb-tcp-443
kube-system   10m         Normal    Pulled                           pod/svclb-traefik-30b6aef5-rhzmn               Container image "rancher/klipper-lb:v0.4.13" already present on machine
kube-system   10m         Normal    Started                          pod/svclb-traefik-30b6aef5-rhzmn               Started container lb-tcp-443
kube-system   10m         Normal    Started                          pod/svclb-traefik-30b6aef5-rhzmn               Started container lb-tcp-80
kube-system   10m         Normal    ApplyJob                         helmchart/traefik                              Applying HelmChart using Job kube-system/helm-install-traefik
kube-system   10m         Normal    Created                          pod/svclb-traefik-30b6aef5-rhzmn               Created container: lb-tcp-80
kube-system   10m         Normal    Pulled                           pod/svclb-traefik-30b6aef5-rhzmn               Successfully pulled image "rancher/klipper-lb:v0.4.13" in 1.94s (1.94s including waiting). Image size: 12720139 bytes.
kube-system   10m         Normal    Completed                        job/helm-install-traefik                       Job completed
kube-system   10m         Normal    UpdatedLoadBalancer              service/traefik                                Updated LoadBalancer with new IPs: [] -> [10.180.0.5]
kube-system   9m59s       Normal    Created                          pod/traefik-6f986b958c-gxtc6                   Created container: traefik
kube-system   9m59s       Normal    Started                          pod/traefik-6f986b958c-gxtc6                   Started container traefik
kube-system   9m59s       Normal    Pulled                           pod/traefik-6f986b958c-gxtc6                   Successfully pulled image "rancher/mirrored-library-traefik:3.3.6" in 4.494s (4.494s including waiting). Image size: 224877466 bytes.
kube-system   9m57s       Normal    UpdatedLoadBalancer              service/traefik                                Updated LoadBalancer with new IPs: [10.180.0.5] -> [10.180.0.5]
